categoria edifici,pertinenza edificio,parte di edificio,latitudine,longitudine,media,nome,Stato
via colonnata,Palmira,"colonna, capitello, trabeazione",34.55352,38.26131,https://upload.wikimedia.org/wikipedia/commons/f/ff/Palmira._Via_colonnata_verso_porta_di_Damasco_-_DecArch_-_1-182.jpg,Via Colonnata di Palmira (vicino porta di Damasco),Siria
via colonnata,Palmira,capitello,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/7/7c/Palmira._Via_colonnata%2C_nord_esedra_-_DecArch_-_1-91.jpg,Via Colonnata di Palmira,Siria
via colonnata,Palmira,trabeazione,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/e/e0/Palmira._Via_colonnata%2C_nord_esedra._Part.di_Z_24_-_DecArch_-_1-89.jpg,Via Colonnata di Palmira,Siria
via colonnata,Palmira,trabeazione,34.5505,38.2687,https://upload.wikimedia.org/wikipedia/commons/b/bd/Palmira._Via_colonnata%2C_nord_esedra._Z_24_-_DecArch_-_1-90.jpg,Via Colonnata di Palmira,Siria
chiesa,Aleppo,architrave,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/9/92/San_Simeone._1%C2%B0ordine_decorazione_esterna_abside_basilica_dx_-_DecArch_-_2-194.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/8/82/San_Simeone._Abside_basilica_destra_-_DecArch_-_2-198.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/b/ba/San_Simeone._Abside_basilica_dx_-_DecArch_-_2-200.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/1/14/San_Simeone._Decorazione_abside_esterna_ottagono_centrale_-_DecArch_-_2-190.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"base di colonna, capitello, colonna, cornice",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/b/b1/San_Simeone._Esterno_abside_basilica_dx_-_DecArch_-_2-192.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"cornice, capitello",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/2/27/San_Simeone._Nartece_-_DecArch_-_2-172.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"trabeazione, capitello",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/7/78/San_Simeone._Nartece_-_DecArch_-_2-174.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"cornice, base di colonna, colonna, capitello",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/e/e0/San_Simeone._Nartece_della_facciata_-_DecArch_-_2-170.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/8/80/San_Simeone._Nartece_sopra_il_portale_-_DecArch_-_2-176.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,"capitello, cornice",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/2/28/San_Simeone._nartece_finestra_laterale_-_DecArch_-_2-178.JPG,Santuario di S. Simeone,Siria
chiesa,Aleppo,"base di colonna, capitello, cornice,  colonna",36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/2/24/San_Simeone._Ottagono_centrale_-_DecArch_-_2-180.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,capitello,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/f/f6/San_Simeone._Ottagono_centrale_-_DecArch_-_2-182.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,architrave,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/c/c1/San_Simeone._Ottagono_centrale_-_DecArch_-_2-184.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/9/9f/Santuario_di_S._Simeone_-_DecArch_-_2-247.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,capitello,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/4/4f/Santuario_di_S._Simeone_-_DecArch_-_2-248.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,capitello,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/5/50/Santuario_di_S._Simeone_-_DecArch_-_2-250.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/8/89/Santuario_di_S._Simeone._Abside_basilica_dx_-_DecArch_-_2-251.jpg,Santuario di S. Simeone,Siria
chiesa,Aleppo,cornice,36.3342,36.8385,https://upload.wikimedia.org/wikipedia/commons/1/16/Santuario_San_Simeone._Chiesa_esterna_-_DecArch_-_2-148.jpg,Santuario di S. Simeone,Siria
